Model,MAE,RMSE,MAPE (%)
Random Forest,59.35745234562264,78.34951724560632,1.0353158475504234
Gradient Boosting,107.1017080900057,139.0409307247258,1.8520157701395712
Linear Regression,153.60061446647182,193.19535316438495,2.7181862790059363
Baseline,382.73416276680746,501.4062386781471,6.665042438079947
