Date,Average_Predicted_MW
2018-08-03,6062.898695652175
2018-08-04,5598.164583333334
2018-08-05,5243.504166666667
2018-08-06,5567.119583333333
2018-08-07,5561.26125
2018-08-08,5568.078333333334
2018-08-09,5683.19875
2018-08-10,5576.176666666666
2018-08-11,5234.804166666667
2018-08-12,5144.388333333333
2018-08-13,5713.687916666667
2018-08-14,5632.867916666667
2018-08-15,5564.802083333333
2018-08-16,5580.044583333333
2018-08-17,5528.8204166666665
2018-08-18,5277.792083333333
2018-08-19,5148.16875
2018-08-20,5583.309166666667
2018-08-21,5664.504583333332
2018-08-22,5564.65875
2018-08-23,5611.7375
2018-08-24,5567.338333333333
2018-08-25,5243.404583333334
2018-08-26,5155.003333333333
2018-08-27,5688.5125
2018-08-28,5563.278333333333
2018-08-29,5540.100833333334
2018-08-30,5460.427083333333
2018-08-31,5401.0616666666665
2018-09-01,5044.422083333334
2018-09-02,4758.72
